Field Season	Plot	Collection Date	Species	Sex	Weight	Weight Note
2013	2	2013-07-16	DM	F	NULL	NULL
2013	7	2013-07-16	DM	M	33	NULL
2013	3	2013-07-16	DM	M	NULL	NULL
2013	1	2013-07-16	DM	M	NULL	NULL
2013	3	2013-07-18	DM	M	40	NULL
2013	7	2013-07-18	DM	M	48	NULL
2013	4	2013-07-18	DM	F	29	NULL
2013	6	2013-07-18	DM	F	37	NULL
2013	8	2013-08-19	DO	F	52	NULL
2013	3	2013-10-17	DO	F	33	NULL
2013	3	2013-10-17	DO	F	50	NULL
2013	9	2013-12-10	DO	F	40	NULL
2013	1	2013-12-10	DO	M	45	NULL
2013	8	2013-12-11	DO	F	41	NULL
2013	9	2013-11-12	DS	F	117	NULL
2013	11	2013-11-13	DS	F	126	NULL
2013	17	2013-11-13	DS	M	132	scale_not_calibrated
2013	14	2013-11-13	DS	F	113	scale_not_calibrated
2013	11	2013-11-13	DS	F	122	NULL
2013	4	2013-11-13	DS	F	107	NULL
2013	4	2013-11-13	DS	F	115	NULL
2014	1	2014-01-09	DM	M	40	NULL
2014	1	2014-01-09	DM	F	36	NULL
2014	1	2014-03-13	DM	F	51	NULL
2014	1	2014-03-13	DM	F	44	NULL
2014	1	2014-03-13	DS	F	146	NULL
2014	2	2014-01-08	NA	NULL	NULL	NULL
2014	2	2014-01-08	DM	M	44	NULL
2014	2	2014-01-08	PF	F	7	NULL
2014	2	2014-01-08	DM	M	45	NULL
2014	2	2014-01-08	OT	NULL	NULL	NULL
2014	2	2014-01-08	DS	M	157	scale_not_calibrated
2014	2	2014-01-08	OX	NULL	NULL	NULL
2014	2	2014-02-18	NA	M	218	scale_not_calibrated
2014	2	2014-02-18	PF	F	7	NULL
2014	2	2014-02-18	DM	M	52	NULL
2014	3	2015-03-11	PF	M	8	NULL
2014	3	2015-04-08	NA	F	NULL	NULL
2014	3	2015-05-06	NULL	NULL	NULL	NULL
2014	3	2015-05-18	NA	F	182	NULL
2014	3	2015-06-09	OT	F	29	NULL
2014	3	2015-07-08	NA	F	115	NULL
2014	3	2015-07-08	NA	M	190	NULL
2014	4	1978-01-08	DM	F	37	NULL
2014	4	1978-01-08	DM	M	NULL	NULL
2014	4	1978-01-08	DM	F	48	NULL
2014	4	1978-01-08	DO	M	52	NULL
2014	4	1978-01-08	OL	M	35	NULL